gamma,common_return,fee_fraction
0.5,1.050559748427673,0.08548156211675029
0.5,1.050679245283019,0.0855073474314576
0.5,1.0507987421383649,0.08553316010678569
0.5,1.0509182389937106,0.08555900018630569
0.5,1.0510377358490566,0.0855848677136819
0.5,1.0511572327044025,0.08561076273267065
0.5,1.0512767295597485,0.08563668528712198
0.5,1.0513962264150942,0.08566263542097874
0.5,1.0515157232704402,0.08568861317827792
0.5,1.0516352201257861,0.08571461860314977
0.5,1.051754716981132,0.08574065173981893
0.5,1.051874213836478,0.08576671263260416
0.5,1.0519937106918238,0.08579280132591882
0.5,1.0521132075471697,0.08581891786427098
0.5,1.0522327044025157,0.08584506229226396
0.5,1.0523522012578617,0.08587123465459645
0.5,1.0524716981132076,0.0858974349960624
0.5,1.0525911949685534,0.08592366336155166
0.5,1.0527106918238993,0.08594991979605071
0.5,1.0528301886792453,0.08597620434464126
0.5,1.0529496855345912,0.08600251705250272
0.5,1.0530691823899372,0.08602885796491089
0.5,1.053188679245283,0.08605522712723845
0.5,1.0533081761006289,0.08608162458495583
0.5,1.0534276729559748,0.08610805038363123
0.5,1.0535471698113208,0.0861345045689299
0.5,1.0536666666666668,0.08616098718661624
0.5,1.0537861635220125,0.0861874982825529
0.5,1.0539056603773584,0.08621403790270032
0.5,1.0540251572327044,0.08624060609311912
0.5,1.0541446540880504,0.08626720289996825
0.5,1.0542641509433963,0.08629382836950694
0.5,1.054383647798742,0.08632048254809321
0.5,1.054503144654088,0.0863471654821859
0.5,1.054622641509434,0.08637387721834366
0.5,1.05474213836478,0.08640061780322628
0.5,1.0548616352201259,0.08642738728359389
0.5,1.0549811320754716,0.08645418570630736
0.5,1.0551006289308176,0.08648101311833034
0.5,1.0552201257861635,0.08650786956672629
0.5,1.0553396226415095,0.0865347550986626
0.5,1.0554591194968554,0.08656166976140711
0.5,1.0555786163522012,0.08658861360233094
0.5,1.0556981132075471,0.086615586668908
0.5,1.055817610062893,0.08664258900871546
0.5,1.055937106918239,0.08666962066943296
0.5,1.056056603773585,0.0866966816988447
0.5,1.0561761006289307,0.08672377214483817
0.5,1.0562955974842767,0.0867508920554051
0.5,1.0564150943396227,0.08677804147864221
0.5,1.0565345911949686,0.08680522046275041
0.5,1.0566540880503146,0.08683242905603528
0.5,1.0567735849056603,0.08685966730690864
0.5,1.0568930817610063,0.08688693526388769
0.5,1.0570125786163522,0.08691423297559442
0.5,1.0571320754716982,0.08694156049075863
0.5,1.0572515723270441,0.08696891785821581
0.5,1.0573710691823899,0.08699630512690737
0.5,1.0574905660377358,0.08702372234588363
0.5,1.0576100628930818,0.08705116956430048
0.5,1.0577295597484278,0.08707864683142219
0.5,1.0578490566037737,0.08710615419662138
0.5,1.0579685534591194,0.08713369170937824
0.5,1.0580880503144654,0.08716125941928143
0.5,1.0582075471698114,0.08718885737602922
0.5,1.0583270440251573,0.08721648562942796
0.5,1.0584465408805033,0.08724414422939397
0.5,1.058566037735849,0.08727183322595355
0.5,1.058685534591195,0.08729955266924228
0.5,1.058805031446541,0.08732730260950661
0.5,1.0589245283018869,0.08735508309710383
0.5,1.0590440251572328,0.08738289418250123
0.5,1.0591635220125786,0.08741073591627835
0.5,1.0592830188679245,0.08743860834912565
0.5,1.0594025157232705,0.08746651153184526
0.5,1.0595220125786164,0.08749444551535235
0.5,1.0596415094339624,0.0875224103506741
0.5,1.0597610062893081,0.08755040608894982
0.5,1.059880503144654,0.08757843278143285
0.5,1.06,0.08760649047948943
1.0,1.041,0.08400698125550987
1.0,1.0411194968553459,0.08400698125550987
1.0,1.0412389937106918,0.08400698125550987
1.0,1.0413584905660376,0.08400698125550987
1.0,1.0414779874213835,0.08400698125550987
1.0,1.0415974842767295,0.08400698125550987
1.0,1.0417169811320754,0.08400698125550987
1.0,1.0418364779874214,0.08400698125550987
1.0,1.0419559748427671,0.08400698125550987
1.0,1.042075471698113,0.08400698125550987
1.0,1.042194968553459,0.08400698125550987
1.0,1.042314465408805,0.08400698125550987
1.0,1.042433962264151,0.08400698125550987
1.0,1.0425534591194967,0.08400698125550987
1.0,1.0426729559748427,0.08400698125550987
1.0,1.0427924528301886,0.08400698125550987
1.0,1.0429119496855346,0.08400698125550987
1.0,1.0430314465408805,0.08400698125550987
1.0,1.0431509433962263,0.08400698125550987
1.0,1.0432704402515722,0.08400698125550987
1.0,1.0433899371069182,0.08400698125550987
1.0,1.0435094339622641,0.08400698125550987
1.0,1.04362893081761,0.08400698125550987
1.0,1.0437484276729558,0.08400698125550987
1.0,1.0438679245283018,0.08400698125550987
1.0,1.0439874213836478,0.08400698125550987
1.0,1.0441069182389937,0.08400698125550987
1.0,1.0442264150943397,0.08400698125550987
1.0,1.0443459119496854,0.08400698125550987
1.0,1.0444654088050314,0.08400698125550987
1.0,1.0445849056603773,0.08400698125550987
1.0,1.0447044025157233,0.08400698125550987
1.0,1.0448238993710692,0.08400698125550987
1.0,1.044943396226415,0.08400698125550987
1.0,1.045062893081761,0.08400698125550987
1.0,1.0451823899371069,0.08400698125550987
1.0,1.0453018867924528,0.08400698125550987
1.0,1.0454213836477988,0.08400698125550987
1.0,1.0455408805031445,0.08400698125550987
1.0,1.0456603773584905,0.08400698125550987
1.0,1.0457798742138364,0.08400698125550987
1.0,1.0458993710691824,0.08400698125550987
1.0,1.0460188679245284,0.08400698125550987
1.0,1.046138364779874,0.08400698125550987
1.0,1.04625786163522,0.08400698125550987
1.0,1.046377358490566,0.08400698125550987
